cmd_x,cmd_y,odom_x,odom_y,odom_filter_x,odom_filter_y,ground_x,ground_y
0.0568162094477149,0.0089187561094341,0.000479445795825389,0,0,0,5.53E-02,6.57E-01
0.0644702981339236,0.0118287491497967,0.00485643263411392,2.00886136187578E-05,0.000261099421406736,9.05025162357464E-11,5.53E-02,6.57E-01
0.0720177746670233,0.0151519355963624,0.00924293132229108,0.000201704007598015,0.00406008383814304,1.009881009896E-07,5.53E-02,6.57E-01
0.0793914195710765,0.0188658009307756,0.0192159597534807,0.000983999820442358,0.00705517898108498,2.08574039063547E-05,5.53E-02,6.57E-01
0.0865782247285616,0.0229659320791056,0.0302918913095177,0.00265849747251255,0.014548467319689,0.000227243168515593,5.53E-02,6.57E-01
0.0934946871755829,0.0274034608205387,0.0405778207705261,0.00477107692128884,0.0250006596499321,0.000929158007920213,5.53E-02,6.57E-01
0.100204321919376,0.0322145553729751,0.0507834382462823,0.00743913217431868,0.0358773215776949,0.00221805480648318,5.53E-02,6.57E-01
0.106650563738284,0.0373631742812155,0.0577015584069322,0.0096482461201825,0.0462905195088606,0.0040092708284692,5.53E-02,6.57E-01
0.1128136121811,0.042831982437524,0.0636326492485642,0.0119009308397539,0.0553641129491126,0.00627762179618059,5.53E-02,6.57E-01
0.118693977329435,0.0486208272280007,0.0694658476791525,0.0144605776506034,0.0640544153471364,0.00881084573983631,5.53E-02,6.57E-01
0.124268636040296,0.0547090275201581,0.0756253717933349,0.0175448776188742,0.0680586783466193,0.0101596034649433,5.53E-02,6.57E-01
0.129522282605563,0.0610806214750356,0.0828313595032025,0.0216340698271478,0.0743037525342848,0.0125069092590773,5.53E-02,6.57E-01
0.134426094148181,0.0676995106180353,0.0907513148146785,0.0266896626718271,0.0813720188056487,0.0154359160636473,5.53E-02,6.57E-01
0.138988909511046,0.0745752868184675,0.0978570327768493,0.0317841020085993,0.0904629925615556,0.0198147561567947,5.53E-02,6.57E-01
0.143185229133584,0.0816714916868427,0.104510891444191,0.0370475756567284,0.0986114322729089,0.0246617314819388,5.53E-02,6.57E-01
0.147012755742702,0.0889835646375745,0.110871915084323,0.0425722163667435,0.106244637466065,0.0296945030777154,5.53E-02,6.57E-01
0.150455410827884,0.0964826437052916,0.116708983344,0.0481280474215283,0.111300218217903,0.0332716940152318,5.53E-02,6.57E-01
0.153506139371949,0.104153379623001,0.121969074441071,0.0536461952350002,0.117853227320985,0.0382447513820104,5.53E-02,6.57E-01
0.156150601281684,0.111958763755911,0.127038546082197,0.0596435344720376,0.12486109016614,0.0441882760238997,5.53E-02,6.57E-01
0.158390472503284,0.119900993491048,0.131781281128659,0.0659189519189565,0.132283219363461,0.0511070917577061,5.53E-02,6.57E-01
0.16021543735462,0.127947382159459,0.136495304457583,0.0729212886025445,0.135204353764868,0.0541794778723418,5.53E-02,6.57E-01
0.161621102330139,0.136078092182468,0.140986425469655,0.0803705811818403,0.140710782178961,0.0601916864797317,5.53E-02,6.57E-01
0.162603671815626,0.144271869797772,0.145014244054056,0.0878390705480819,0.146142221159124,0.0668012402213286,5.53E-02,6.57E-01
0.163159620179604,0.152496266113332,0.148510953461038,0.0951648579942858,0.1517485332273,0.0744366812742011,5.53E-02,6.57E-01
0.16328929776713,0.160754541529086,0.151652802153456,0.102692770783958,0.157952894431721,0.0841137556450177,5.53E-02,6.57E-01
0.162990961748102,0.168993812819416,0.15433435860258,0.110150251524482,0.160086120658445,0.0878041628559482,5.53E-02,6.57E-01
0.162265918793279,0.177212032774707,0.156589697771044,0.117613465162487,0.16452237495033,0.0960783887642032,5.53E-02,6.57E-01
0.161114778699929,0.185390545586084,0.158514940478743,0.12545051123753,0.168185034158216,0.103964420857786,5.53E-02,6.57E-01
0.159543723242947,0.193484134061562,0.160021679448885,0.133387317448734,0.170513557170309,0.10933617527711,5.53E-02,6.57E-01
0.157555280415708,0.201487177033267,0.16117945360436,0.141957933707293,0.173274167073422,0.11688626422912,5.53E-02,6.57E-01
0.155152624785948,0.209384391036608,0.161842074256612,0.150319453973743,0.175887311126963,0.124745244141422,5.53E-02,6.57E-01
0.152345600691466,0.217141429427087,0.162077228115942,0.15858254905029,0.177934007560177,0.133077279343535,5.53E-02,6.57E-01
0.149135398043677,0.224754636854608,0.161916077818833,0.166860060023842,0.180029526841446,0.143583541408707,5.53E-02,6.57E-01
0.145546834973455,0.232165466966426,0.161313921115438,0.175279259753649,0.181163817401117,0.151562108274683,5.53E-02,6.57E-01
0.141566922925179,0.239404304279451,0.160268543381595,0.183666432782196,0.18201028618442,0.159925932178457,5.53E-02,6.57E-01
0.137222349249982,0.246417977641393,0.158838158422574,0.191678308686879,0.182455754652562,0.171150727245009,5.53E-02,6.57E-01
0.132525091891735,0.253190063661997,0.157037754215487,0.19943493469683,0.18230729338042,0.174612194869349,5.53E-02,6.57E-01
0.127477580614247,0.259717724545936,0.154910031632528,0.206907292392004,0.181977358152545,0.183083344809968,5.53E-02,6.57E-01
0.122098747405021,0.265974833454201,0.15241006912522,0.214305437272619,0.180863723763075,0.194222333091297,5.53E-02,6.57E-01
0.116404419997652,0.271943197251436,0.1494251296426,0.22189785574523,0.179408827260838,0.203219712176863,5.53E-02,6.57E-01
0.110408874885775,0.277608219566796,0.145914788483769,0.22963122915923,0.178874675712063,0.206233384250129,5.53E-02,6.57E-01
0.104128400474252,0.282954622417577,0.141984012721558,0.237235922228023,0.175890820890959,0.219046799983397,5.53E-02,6.57E-01
