cmd_x,cmd_y,odom_x,odom_y,odom_filter_x,odom_filter_y,ground_x,ground_y
0.0296989218,0,0,0,0,0,4.27E-01,-9.65E-01
0.0330010323,0,0.000214110243056984,0,0,0,4.27E-01,-9.65E-01
0.0362995961,0,0.00160207151598207,1.82878090752835E-06,0.00013344524570996,0,4.27E-01,-9.65E-01
0.0395982791,0,0.00479522104003975,1.02320484579835E-05,0.000802411716311221,7.27336058E-12,4.27E-01,-9.65E-01
0.0428984951,0,0.00800650280424175,1.02693623222398E-05,0.00433780351827752,8.3150532911E-09,4.27E-01,-9.65E-01
0.0461975869,0,0.0125990355623466,-1.7781565683672E-06,0.00827228565809827,5.821059293206E-07,4.27E-01,-9.65E-01
0.0495006432,0,0.0171886061701739,-1.75185888266679E-06,0.010119713239883,2.30583764450806E-06,4.27E-01,-9.65E-01
0.0528006418,0,0.0198565798668986,5.27302085436222E-06,0.0160131889234307,2.0403630705943E-05,4.27E-01,-9.65E-01
0.0561016573,0,0.0221012775311777,1.11833981406562E-05,0.0190691398757298,4.74217208034355E-05,4.27E-01,-9.65E-01
0.0593981101,0,0.0243525628483232,1.41493669213801E-05,0.0220163770274274,7.63243750683695E-05,4.27E-01,-9.65E-01
0.0626993019,0,0.0266415246353137,1.41448329968487E-05,0.0228383053225041,8.40622471184186E-05,4.27E-01,-9.65E-01
0.0659979709,0,0.0297926146237184,2.03319943194637E-05,0.0258420554255328,0.000111815908037971,4.27E-01,-9.65E-01
0.0692977259,0,0.0330327142526087,2.45640917322118E-05,0.0291220687508884,0.000139569047567955,4.27E-01,-9.65E-01
0.0726012161,0,0.0368822221387084,2.69902851515694E-05,0.0311536576923343,0.000158547908745363,4.27E-01,-9.65E-01
0.0758987139,0,0.0407799162960571,2.44558432673774E-05,0.0345823911428247,0.000187990024209497,4.27E-01,-9.65E-01
0.0791998476,0,0.0442523626251103,6.22442753852041E-06,0.0385082122098276,0.000224569289249617,4.27E-01,-9.65E-01
0.0825020643,0,0.0477255600694811,-1.88622251026041E-05,0.044447797582601,0.000270501050430899,4.27E-01,-9.65E-01
0.0858008235,0,0.0508229164089434,-4.73456779618987E-05,0.0457192491814233,0.000276654238176882,4.27E-01,-9.65E-01
0.089098188,0,0.053814522582485,-7.0923643369764E-05,0.0490215374050406,0.00029296172973797,4.27E-01,-9.65E-01
0.0923994429,0,0.0568063124509503,-9.05685495681573E-05,0.0520981024150134,0.000307840607190389,4.27E-01,-9.65E-01
0.0956996819,0,0.0596921955145807,-0.000105722682642863,0.0563303603409007,0.000327732295201208,4.27E-01,-9.65E-01
0.0989992997,0,0.062734694111869,-0.000141713099895508,0.0596143251529254,0.000336367865151934,4.27E-01,-9.65E-01
0.1022995076,0,0.0657246611148498,-0.000167259103070031,0.0609811463166016,0.000339888255124219,4.27E-01,-9.65E-01
0.1055985303,0,0.0689801122690634,-0.000173679200535497,0.0642025157198039,0.000359039619910254,4.27E-01,-9.65E-01
0.1089042627,0,0.0722458040192967,-0.000169394316889788,0.0681749899500129,0.00041428764400205,4.27E-01,-9.65E-01
0.1121992768,0,0.0753949491458925,-0.000154887326012995,0.0731226236111429,0.000519591455027346,4.27E-01,-9.65E-01
0.1154985128,0,0.0787572230225849,-0.000137189680104266,0.0762383273091475,0.000594767813056222,4.27E-01,-9.65E-01
0.1188003849,0,0.0820409640517656,-0.000130690399834754,0.0768330832185062,0.000607310899511658,4.27E-01,-9.65E-01
0.1221001049,0,0.0852162042898749,-0.00013296110664551,0.081079640051245,0.000702648007318472,4.27E-01,-9.65E-01
0.1253967581,0,0.088208077660194,-0.000137017440025498,0.0844791918225214,0.000763013651299808,4.27E-01,-9.65E-01
0.1286984679,0,0.0912112844977755,-0.000141089139136544,0.0894791756162053,0.000843730546804021,4.27E-01,-9.65E-01
0.132003543,0,0.0943053083600665,-0.000145283966496417,0.092509512564283,0.000891424873906219,4.27E-01,-9.65E-01
0.1352995259,0,0.0973479032843715,-0.000145413788437205,0.0955743998629678,0.000940339080541245,4.27E-01,-9.65E-01
0.138598751,0,0.100497431266047,-0.000147617320550925,0.0986624560754943,0.000988960455857912,4.27E-01,-9.65E-01
0.1418994338,0,0.103658133040618,-0.000151905276698392,0.101828855399604,0.00103695239907755,4.27E-01,-9.65E-01
0.1451995806,0,0.106908238870615,-0.000158457449159056,0.105015890353048,0.00107703197050999,4.27E-01,-9.65E-01
0.1484985812,0,0.11026971365221,-0.000167438474228674,0.108330941928088,0.00111451721954269,4.27E-01,-9.65E-01
0.1517994023,0,0.113640339323771,-0.000178657460488746,0.111687926858217,0.00115269098344283,4.27E-01,-9.65E-01
0.1550999639,0,0.116737960955792,-0.000191007543664524,0.114879757521706,0.00119108866228676,4.27E-01,-9.65E-01
0.1583974457,0,0.119925493061444,-0.000203716096001366,0.118041402502082,0.00123607887649718,4.27E-01,-9.65E-01
0.1617075031,0,0.12287692138424,-0.000213520762949511,0.121094138218405,0.00128403864978631,4.27E-01,-9.65E-01
0.1649983925,0,0.126028313882904,-0.000223989712384477,0.124181806159154,0.00133143825029139,4.27E-01,-9.65E-01
0.1682977157,0,0.129184866669997,-0.000236550948972553,0.127330502834324,0.00138033697197597,4.27E-01,-9.65E-01
0.1715993704,0,0.132550073020769,-0.000252158459655338,0.130586020961955,0.00142969213426696,4.27E-01,-9.65E-01
0.1748986746,0,0.135698246752063,-0.00026882916241842,0.13415318336802,0.00147952668931069,4.27E-01,-9.65E-01
0.1782023731,0,0.139064271605244,-0.000288864117009127,0.137128438927546,0.00151219754589643,4.27E-01,-9.65E-01
